episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
447,30,-2.0,5,0.7993,0.2186,0,105.5
448,60,-3.925,70,0.7989,0.2185,0,105.5
449,40,-2.425,16,0.7985,0.2184,0,103.6
450,30,-3.0,29,0.7981,0.2184,0,102.9
451,150,-4.875,165,0.7977,0.2183,0,103.6
452,80,-4.75,74,0.7973,0.2182,0,102.5
453,30,-2.85,26,0.7969,0.2182,0,100.8
454,140,-0.95,60,0.7965,0.2181,0,101.8
455,30,-2.6,18,0.7961,0.218,0,101.4
456,40,-2.85,25,0.7957,0.218,0,101.4
457,40,-2.225,12,0.7953,0.2179,0,101.1
458,60,-1.725,16,0.7949,0.2178,0,101.1
459,30,-2.275,11,0.7945,0.2178,0,99.9
460,30,-2.875,24,0.7941,0.2177,0,99.0
461,170,-6.025,205,0.7937,0.2176,0,100.4
462,180,-7.2,156,0.7933,0.2176,0,101.6
463,120,-4.1,63,0.7929,0.2175,0,101.3
464,120,-4.675,82,0.7925,0.2174,0,101.7
465,150,-4.05,91,0.7921,0.2174,0,102.2
466,40,-2.4,18,0.7917,0.2173,0,101.4
467,30,-2.9,24,0.7913,0.2172,0,101.4
468,220,-3.625,170,0.7909,0.2172,0,100.9
469,40,-3.425,40,0.7905,0.2171,0,98.4
470,30,-2.375,13,0.7901,0.2171,0,98.0
471,100,-1.675,51,0.7897,0.217,0,97.4
472,60,-2.125,14,0.7893,0.2169,0,97.0
473,60,-2.625,25,0.7889,0.2169,0,97.3
474,70,-2.95,39,0.7886,0.2168,0,97.0
475,60,-3.875,51,0.7882,0.2167,0,96.9
476,40,-2.55,19,0.7878,0.2167,0,94.4
477,30,-2.15,8,0.7874,0.2166,0,92.8
478,160,-0.3,76,0.787,0.2165,0,93.7
479,110,-3.125,46,0.7866,0.2165,0,93.9
480,220,-3.225,136,0.7862,0.2164,0,95.5
481,60,-2.6,24,0.7858,0.2163,0,95.3
482,30,-2.15,8,0.7854,0.2163,0,93.0
483,70,-4.0,79,0.785,0.2162,0,92.4
484,50,-4.625,68,0.7846,0.2161,0,92.2
485,40,-2.3,13,0.7842,0.2161,0,90.4
486,50,-3.375,47,0.7838,0.216,0,90.6
487,30,-2.425,14,0.7834,0.2159,0,90.3
488,110,-2.05,74,0.783,0.2159,0,90.0
489,30,-2.325,12,0.7827,0.2158,0,89.8
490,30,-1.95,4,0.7823,0.2158,0,89.4
491,40,-1.75,7,0.7819,0.2157,0,87.2
492,80,-1.95,42,0.7815,0.2156,0,87.7
493,60,-4.125,61,0.7811,0.2156,0,88.0
494,260,-4.9,224,0.7807,0.2155,0,87.7
495,80,-3.525,50,0.7803,0.2154,0,87.9
496,40,-2.5,20,0.7799,0.2154,0,86.9
497,30,-2.25,13,0.7795,0.2153,0,86.9
498,30,-2.0,7,0.7791,0.2152,0,86.5
499,30,-2.0,7,0.7788,0.2152,0,85.4
500,40,-2.2,11,0.7784,0.2151,0,85.5
501,110,-1.075,38,0.778,0.215,0,85.8
502,130,-7.45,159,0.7776,0.215,0,85.6
503,150,-7.025,143,0.7772,0.2149,0,86.8
504,40,-4.875,70,0.7768,0.2148,0,85.3
505,80,-1.95,41,0.7764,0.2148,0,84.5
506,110,-5.175,111,0.776,0.2147,0,83.7
507,30,-2.45,15,0.7756,0.2147,0,82.6
508,70,-4.175,81,0.7753,0.2146,0,81.5
509,30,-3.2,31,0.7749,0.2145,0,80.8
510,30,-4.175,50,0.7745,0.2145,0,80.5
511,30,-2.1,7,0.7741,0.2144,0,80.5
512,40,-2.65,26,0.7737,0.2143,0,79.5
513,140,-3.275,110,0.7733,0.2143,0,79.3
514,150,-4.375,92,0.7729,0.2142,0,79.3
515,60,-3.425,41,0.7725,0.2141,0,79.3
