episode,total_reward,steps,epsilon,won,progress_cells
387,-0.24,84,0.0572,0,3
388,3.29,52,0.0569,0,11
389,-40.05,6,0.0566,0,3
390,-35.06,7,0.0563,0,3
391,-36.28,49,0.0561,0,3
392,-1.02,82,0.0558,0,2
393,-26.39,20,0.0555,0,6
394,-35.56,37,0.0552,0,3
395,-5.41,22,0.055,0,10
396,-36.54,55,0.0547,0,3
397,-36.31,72,0.0544,0,4
398,-37.09,110,0.0541,0,3
399,-8.22,82,0.0539,0,2
400,-40.07,8,0.0536,0,3
401,-36.47,68,0.0533,0,3
402,-4.4,100,0.0531,0,3
403,-36.68,89,0.0528,0,3
404,-35.45,26,0.0525,0,3
405,-35.41,22,0.0523,0,3
406,-20.9,31,0.052,0,7
407,-31.38,79,0.0517,0,5
408,-45.55,56,0.0515,0,3
409,2.82,98,0.0512,0,3
410,-30.51,12,0.051,0,4
411,-8.82,82,0.0507,0,2
412,3.18,122,0.0505,0,3
413,2.55,105,0.0502,0,3
414,-35.32,13,0.05,0,3
415,-37.37,98,0.05,0,3
416,-9.8,140,0.05,0,3
417,-8.62,82,0.05,0,2
418,-8.22,82,0.05,0,2
419,-7.82,82,0.05,0,2
420,-30.66,27,0.05,0,4
421,1.84,96,0.05,0,3
422,-8.62,82,0.05,0,2
423,-6.55,115,0.05,0,3
424,2.2,100,0.05,0,3
425,-8.82,82,0.05,0,2
426,2.32,88,0.05,0,3
427,-8.62,82,0.05,0,2
428,-40.31,112,0.05,0,4
429,-12.56,37,0.05,0,8
430,2.54,86,0.05,0,3
431,-8.03,123,0.05,0,3
432,-8.62,82,0.05,0,2
433,-3.87,87,0.05,0,3
434,-40.09,10,0.05,0,3
435,-4.47,87,0.05,0,3
436,-36.38,19,0.05,0,3
437,-41.22,43,0.05,0,3
438,-8.82,82,0.05,0,2
439,-4.27,87,0.05,0,3
440,-41.19,40,0.05,0,3
441,-8.63,83,0.05,0,2
442,-40.55,56,0.05,0,3
443,-35.65,26,0.05,0,3
444,-8.82,82,0.05,0,2
445,-8.62,82,0.05,0,2
446,-35.23,124,0.05,0,4
447,-8.62,82,0.05,0,2
448,-5.37,97,0.05,0,3
449,-8.82,82,0.05,0,2
450,-5.63,103,0.05,0,3
451,-3.87,87,0.05,0,3
452,-8.82,82,0.05,0,2
453,-5.83,103,0.05,0,3
454,-36.14,35,0.05,0,3
455,-4.09,89,0.05,0,3
456,-8.42,82,0.05,0,2
457,-8.62,82,0.05,0,2
458,-5.69,109,0.05,0,3
459,-10.6,160,0.05,0,3
460,-2.37,137,0.05,0,3
461,-38.24,145,0.05,0,3
462,-5.08,108,0.05,0,3
463,-8.82,82,0.05,0,2
464,1.6,100,0.05,0,3
465,-41.13,14,0.05,0,3
466,-8.42,82,0.05,0,2
467,-7.06,166,0.05,0,4
468,-8.62,82,0.05,0,2
469,-7.2,160,0.05,0,3
470,-40.09,10,0.05,0,3
471,-40.74,15,0.05,0,3
472,-8.82,82,0.05,0,2
473,-8.62,82,0.05,0,2
474,-8.42,82,0.05,0,2
475,-40.12,13,0.05,0,3
476,-2.69,109,0.05,0,3
477,-38.56,37,0.05,0,3
478,-10.44,144,0.05,0,3
479,1.2,120,0.05,0,4
480,-3.87,87,0.05,0,3
481,-40.08,9,0.05,0,3
482,-4.71,91,0.05,0,3
483,-8.42,82,0.05,0,2
484,-1.62,82,0.05,0,2
485,2.37,103,0.05,0,3
486,-8.42,82,0.05,0,2
487,-11.77,97,0.05,0,2
488,-10.94,94,0.05,0,2
489,-37.47,28,0.05,0,3
490,-6.53,113,0.05,0,3
491,-32.49,30,0.05,0,4
492,-8.62,82,0.05,0,2
493,-8.02,82,0.05,0,2
494,-45.0,101,0.05,0,3
495,-7.82,82,0.05,0,2
496,-8.99,139,0.05,0,3
497,-5.18,98,0.05,0,3
498,-41.5,91,0.05,0,3
499,-46.12,73,0.05,0,3
500,-41.02,43,0.05,0,3
501,-44.51,52,0.05,0,3
502,-43.2,41,0.05,0,3
503,-6.71,111,0.05,0,3
504,-41.48,29,0.05,0,3
505,-8.62,82,0.05,0,2
506,-7.62,82,0.05,0,2
507,-8.41,141,0.05,0,3
508,7.44,156,0.05,0,4
509,-7.42,82,0.05,0,2
510,-8.02,82,0.05,0,2
511,-10.78,39,0.05,0,8
512,11.73,88,0.05,0,13
513,-30.08,9,0.05,0,5
514,-7.42,82,0.05,0,2
515,-32.75,136,0.05,0,7
516,8.26,75,0.05,0,12
517,-30.75,16,0.05,0,5
518,1.11,89,0.05,0,4
519,-3.97,78,0.05,0,10
520,-8.62,82,0.05,0,2
521,-5.64,104,0.05,0,3
522,-8.42,82,0.05,0,2
523,-3.47,87,0.05,0,3
524,-7.19,139,0.05,0,1
525,-12.28,49,0.05,0,8
526,-20.24,65,0.05,0,7
527,-6.93,94,0.05,0,11
528,-30.05,6,0.05,0,4
529,-9.82,142,0.05,0,3
530,-35.56,57,0.05,0,4
531,1.99,101,0.05,0,4
532,0.41,99,0.05,0,4
533,-40.02,3,0.05,0,3
534,-30.39,60,0.05,0,6
535,-0.17,97,0.05,0,4
536,-8.62,82,0.05,0,2
537,-5.61,101,0.05,0,3
538,-8.42,82,0.05,0,2
539,-3.04,84,0.05,0,3
540,-0.04,104,0.05,0,3
541,-42.51,72,0.05,0,3
542,-3.15,135,0.05,0,3
543,0.13,87,0.05,0,3
544,-5.42,82,0.05,0,2
545,-2.65,85,0.05,0,3
546,-40.66,7,0.05,0,3
547,-5.22,82,0.05,0,2
548,-7.63,83,0.05,0,2
549,-1.84,84,0.05,0,3
550,-42.73,74,0.05,0,3
551,-7.64,124,0.05,0,3
552,-2.91,91,0.05,0,3
553,-8.62,82,0.05,0,2
554,-39.83,144,0.05,0,4
555,-30.6,21,0.05,0,4
556,-40.4,21,0.05,0,3
557,-5.38,98,0.05,0,3
558,-1.82,82,0.05,0,2
559,-2.21,101,0.05,0,3
560,-22.09,90,0.05,0,7
561,1.48,92,0.05,0,3
562,4.7,90,0.05,0,4
563,10.33,167,0.05,0,6
564,-4.22,82,0.05,0,2
565,-7.82,82,0.05,0,2
566,-39.08,89,0.05,0,4
567,-34.58,59,0.05,0,4
568,-40.06,7,0.05,0,3
569,-4.22,82,0.05,0,2
570,-3.72,132,0.05,0,4
571,0.48,92,0.05,0,4
572,-4.57,97,0.05,0,2
573,-3.52,152,0.05,0,3
574,-40.95,16,0.05,0,3
575,-31.0,81,0.05,0,5
576,-44.88,49,0.05,0,3
577,-3.68,88,0.05,0,3
578,-30.05,66,0.05,0,5
579,-4.06,86,0.05,0,3
580,-4.88,108,0.05,0,3
581,-36.36,17,0.05,0,3
582,-43.65,46,0.05,0,3
583,-40.43,24,0.05,0,3
584,-8.82,82,0.05,0,2
585,-40.93,14,0.05,0,3
586,2.18,142,0.05,0,5
587,-5.16,96,0.05,0,3
588,-44.98,59,0.05,0,3
589,-8.22,82,0.05,0,2
590,-8.82,82,0.05,0,2
591,-2.83,83,0.05,0,3
592,-5.15,115,0.05,0,3
593,-7.62,82,0.05,0,2
594,-37.9,91,0.05,0,5
595,-6.28,148,0.05,0,3
596,-25.36,77,0.05,0,7
597,-31.17,18,0.05,0,5
598,-2.85,85,0.05,0,3
599,3.03,97,0.05,0,4
600,-32.37,58,0.05,0,5
601,-4.82,82,0.05,0,2
602,-20.57,18,0.05,0,6
603,-30.17,18,0.05,0,5
604,-1.75,95,0.05,0,3
605,-30.91,12,0.05,0,5
606,-26.51,32,0.05,0,5
607,2.02,138,0.05,0,4
608,-3.51,72,0.05,0,10
609,-25.51,12,0.05,0,6
610,-26.12,33,0.05,0,6
611,-21.93,54,0.05,0,6
612,-25.95,36,0.05,0,5
613,-27.15,36,0.05,0,5
614,-20.61,22,0.05,0,6
615,-25.82,23,0.05,0,5
616,10.65,115,0.05,0,5
617,19.04,117,0.05,0,15
618,-36.61,22,0.05,0,3
619,0.36,84,0.05,0,3
620,-36.22,23,0.05,0,3
621,-2.72,112,0.05,0,3
622,-5.56,37,0.05,0,10
623,-32.39,40,0.05,0,5
624,2.04,96,0.05,0,4
625,-40.02,3,0.05,0,3
626,-21.82,123,0.05,0,8
627,-26.47,48,0.05,0,5
628,-26.34,35,0.05,0,5
629,-27.22,103,0.05,0,6
630,-6.03,44,0.05,0,10
631,-19.16,97,0.05,0,7
632,-40.15,16,0.05,0,3
633,-21.84,45,0.05,0,7
634,-8.94,94,0.05,0,2
635,-9.74,95,0.05,0,10
636,-9.33,74,0.05,0,9
637,-2.94,94,0.05,0,2
638,-29.47,88,0.05,0,5
639,-25.87,28,0.05,0,5
640,-30.43,24,0.05,0,5
641,-3.74,94,0.05,0,2
642,-27.61,62,0.05,0,5
643,-31.16,37,0.05,0,4
644,-31.15,36,0.05,0,5
645,-21.21,42,0.05,0,6
646,-40.15,16,0.05,0,3
647,-7.34,75,0.05,0,10
648,-5.14,94,0.05,0,2
649,-28.34,75,0.05,0,5
650,-25.39,20,0.05,0,6
651,-6.92,73,0.05,0,9
652,-27.85,66,0.05,0,6
653,-26.29,50,0.05,0,5
654,-15.97,38,0.05,0,7
655,-8.94,95,0.05,0,9
656,-40.14,15,0.05,0,3
657,-0.36,96,0.05,0,3
658,-21.98,59,0.05,0,6
659,-47.15,96,0.05,0,3
660,-26.77,38,0.05,0,5
661,-27.62,143,0.05,0,6
662,-25.51,32,0.05,0,5
663,-6.14,94,0.05,0,2
664,-6.08,88,0.05,0,2
665,-2.34,94,0.05,0,2
666,-11.8,80,0.05,0,0
667,-3.35,155,0.05,0,2
668,-37.43,64,0.05,0,3
669,-27.71,92,0.05,0,6
670,-27.59,100,0.05,0,5
671,-32.44,45,0.05,0,4
672,-2.93,133,0.05,0,2
673,-20.86,47,0.05,0,7
674,-20.34,35,0.05,0,7
675,-25.56,37,0.05,0,5
676,1.72,128,0.05,0,3
677,11.07,113,0.05,0,5
678,-28.17,118,0.05,0,5
679,-27.03,84,0.05,0,5
680,-40.68,29,0.05,0,3
681,-22.3,111,0.05,0,6
682,-2.36,96,0.05,0,2
683,-27.04,105,0.05,0,5
684,-16.33,74,0.05,0,7
685,-6.23,83,0.05,0,1
686,-40.19,20,0.05,0,3
687,-2.38,118,0.05,0,2
688,-38.09,70,0.05,0,3
689,-2.17,97,0.05,0,2
690,-2.22,142,0.05,0,2
691,-10.0,100,0.05,0,1
692,-7.68,128,0.05,0,2
693,-3.05,125,0.05,0,2
694,-13.36,176,0.05,0,2
695,2.37,103,0.05,0,4
696,-7.39,99,0.05,0,2
697,-30.3,71,0.05,0,5
698,-13.16,57,0.05,0,8
699,-28.15,116,0.05,0,5
700,5.79,121,0.05,0,4
701,-28.26,87,0.05,0,5
702,3.61,60,0.05,0,11
703,-33.6,41,0.05,0,5
704,-5.82,82,0.05,0,2
705,5.84,96,0.05,0,4
706,-23.47,68,0.05,0,6
707,-25.0,81,0.05,0,6
708,-12.3,71,0.05,0,8
709,-15.35,16,0.05,0,7
710,-20.76,17,0.05,0,7
711,-20.43,24,0.05,0,6
712,-25.05,6,0.05,0,5
713,-21.99,40,0.05,0,7
714,-1.84,45,0.05,0,10
715,-30.61,22,0.05,0,4
716,-20.08,9,0.05,0,7
717,-30.97,18,0.05,0,5
718,-31.74,35,0.05,0,4
719,11.24,116,0.05,0,5
720,-0.84,164,0.05,0,4
721,-35.25,6,0.05,0,3
722,-21.7,31,0.05,0,6
723,9.25,115,0.05,0,5
724,5.72,88,0.05,0,4
725,-20.12,13,0.05,0,6
726,-34.54,75,0.05,0,4
727,-29.26,67,0.05,0,5
728,-17.2,41,0.05,0,7
729,-15.35,16,0.05,0,7
730,-25.12,13,0.05,0,6
731,-40.02,3,0.05,0,3
732,13.7,150,0.05,0,6
733,-33.84,65,0.05,0,5
734,-40.02,3,0.05,0,3
735,-4.02,143,0.05,0,11
736,-15.54,15,0.05,0,7
737,36.61,99,0.05,0,10
738,-40.05,6,0.05,0,3
739,3.68,33,0.05,0,12
740,3.16,84,0.05,0,4
741,0.59,121,0.05,0,4
742,-24.43,84,0.05,0,6
743,-40.02,3,0.05,0,3
744,-22.94,35,0.05,0,7
745,-40.06,7,0.05,0,3
746,-26.71,32,0.05,0,5
747,-33.64,45,0.05,0,4
748,2.22,158,0.05,0,5
749,-30.4,21,0.05,0,4
750,-10.76,77,0.05,0,9
751,3.96,84,0.05,0,4
752,8.11,109,0.05,0,5
753,-31.15,76,0.05,0,5
754,-25.28,9,0.05,0,5
755,-0.87,87,0.05,0,3
756,-25.05,6,0.05,0,6
757,-3.84,84,0.05,0,2
758,-3.41,121,0.05,0,2
759,-30.38,39,0.05,0,5
760,-26.67,68,0.05,0,5
761,8.05,135,0.05,0,5
762,-31.83,64,0.05,0,4
763,-31.49,110,0.05,0,5
764,-28.05,126,0.05,0,5
765,-28.98,139,0.05,0,5
766,-26.08,149,0.05,0,6
767,5.27,153,0.05,0,5
768,-28.34,135,0.05,0,5
769,-32.57,78,0.05,0,4
770,11.86,134,0.05,0,5
771,11.83,117,0.05,0,5
772,-28.73,54,0.05,0,5
773,-3.35,95,0.05,0,2
774,-26.95,76,0.05,0,5
775,-33.97,58,0.05,0,4
776,12.37,123,0.05,0,5
777,-40.47,48,0.05,0,3
778,-2.26,106,0.05,0,2
779,-25.41,22,0.05,0,5
780,-32.33,74,0.05,0,5
781,-3.26,106,0.05,0,2
