[SAVE] New best avg score: 100.00
Episode 122/50000, Score: 30, Reward: 4.199999999999999, Avg: 59.166666666666664, Actor loss: -2.4814, Critic loss: 15.7700, Total loss: 5.4037
Episode 123/50000, Score: 50, Reward: 5.700000000000003, Avg: 57.5, Actor loss: -6.7792, Critic loss: 53.3055, Total loss: 19.8735
Episode 124/50000, Score: 50, Reward: -8.699999999999989, Avg: 56.666666666666664, Actor loss: -14.7058, Critic loss: 140.2731, Total loss: 55.4307
Episode 125/50000, Score: 60, Reward: 15.500000000000004, Avg: 58.333333333333336, Actor loss: -4.8368, Critic loss: 92.8609, Total loss: 41.5937
Episode 126/50000, Score: 50, Reward: 8.8, Avg: 58.333333333333336, Actor loss: -1.4828, Critic loss: 33.6070, Total loss: 15.3207
Episode 127/50000, Score: 80, Reward: 10.600000000000012, Avg: 62.5, Actor loss: -11.8991, Critic loss: 83.3013, Total loss: 29.7515
Episode 128/50000, Score: 30, Reward: -0.6000000000000014, Avg: 62.5, Actor loss: -2.5844, Critic loss: 11.9754, Total loss: 3.4034
Episode 129/50000, Score: 70, Reward: 12.000000000000007, Avg: 60.0, Actor loss: -2.2818, Critic loss: 54.2563, Total loss: 24.8464
Episode 130/50000, Score: 30, Reward: -0.5999999999999996, Avg: 58.333333333333336, Actor loss: -3.9408, Critic loss: 19.6888, Total loss: 5.9036
Episode 131/50000, Score: 30, Reward: -0.40000000000000036, Avg: 54.166666666666664, Actor loss: -1.0920, Critic loss: 14.1545, Total loss: 5.9853
Episode 132/50000, Score: 120, Reward: 42.29999999999997, Avg: 60.0, Actor loss: 1.7222, Critic loss: 30.2676, Total loss: 16.8561
Episode 133/50000, Score: 50, Reward: 13.400000000000002, Avg: 54.166666666666664, Actor loss: -3.1752, Critic loss: 64.6825, Total loss: 29.1660
Episode 134/50000, Score: 30, Reward: 4.199999999999999, Avg: 54.166666666666664, Actor loss: -1.0768, Critic loss: 13.8742, Total loss: 5.8603
Episode 135/50000, Score: 60, Reward: -11.399999999999999, Avg: 55.0, Actor loss: -10.0415, Critic loss: 68.4422, Total loss: 24.1796
Episode 136/50000, Score: 50, Reward: 8.8, Avg: 55.0, Actor loss: -0.2543, Critic loss: 32.5346, Total loss: 16.0129
Episode 137/50000, Score: 60, Reward: 9.700000000000006, Avg: 55.0, Actor loss: -4.2458, Critic loss: 40.5558, Total loss: 16.0321
Episode 138/50000, Score: 30, Reward: -0.40000000000000036, Avg: 53.333333333333336, Actor loss: -1.1101, Critic loss: 14.8265, Total loss: 6.3032
Episode 139/50000, Score: 40, Reward: 8.000000000000004, Avg: 50.0, Actor loss: -6.7670, Critic loss: 51.4268, Total loss: 18.9464
Episode 140/50000, Score: 80, Reward: 23.4, Avg: 54.166666666666664, Actor loss: 1.1922, Critic loss: 178.4633, Total loss: 90.4238
Episode 141/50000, Score: 50, Reward: 6.6000000000000085, Avg: 52.5, Actor loss: -4.3081, Critic loss: 38.9721, Total loss: 15.1780
Episode 142/50000, Score: 50, Reward: 5.300000000000004, Avg: 54.166666666666664, Actor loss: -8.1015, Critic loss: 63.8854, Total loss: 23.8412
Episode 143/50000, Score: 30, Reward: -0.7999999999999989, Avg: 54.166666666666664, Actor loss: -5.3605, Critic loss: 23.7487, Total loss: 6.5139
Episode 144/50000, Score: 80, Reward: 9.400000000000013, Avg: 50.833333333333336, Actor loss: -4.8377, Critic loss: 17.4263, Total loss: 3.8755
Episode 145/50000, Score: 70, Reward: 19.700000000000006, Avg: 52.5, Actor loss: 5.5702, Critic loss: 95.5997, Total loss: 53.3701
Episode 146/50000, Score: 30, Reward: -0.40000000000000036, Avg: 52.5, Actor loss: -1.0673, Critic loss: 15.7796, Total loss: 6.8225
