episode,total_reward,epsilon
1048,-129.38,0.02
1049,-122.32,0.02
1050,-117.77,0.02
1051,-105.41,0.02
1052,-168.3,0.02
1053,-4928.68,0.02
1054,-4752.81,0.02
1055,-298.36,0.02
1056,-207.68,0.02
1057,-236.78,0.02
1058,-271.16,0.02
1059,-289.12,0.02
1060,-228.46,0.02
1061,-126.32,0.02
1062,-2104.02,0.02
1063,-4345.0,0.02
1064,-28250.52,0.02
1065,-10433.89,0.02
1066,-15697.41,0.02
1067,-185.26,0.02
1068,-116.83,0.02
1069,-149.29,0.02
1070,-108.75,0.02
1071,-236.47,0.02
1072,-254.67,0.02
1073,-198.86,0.02
1074,-4855.01,0.02
1075,-4919.93,0.02
1076,-163.25,0.02
1077,-5208.15,0.02
1078,-116.93,0.02
1079,-115.29,0.02
1080,-107.42,0.02
1081,-979.43,0.02
1082,-164.91,0.02
1083,-119.05,0.02
1084,-159.08,0.02
1085,-124.48,0.02
1086,-2622.5,0.02
1087,-151.39,0.02
1088,-115.85,0.02
1089,-205.88,0.02
1090,-2559.91,0.02
1091,-2310.63,0.02
1092,-2596.91,0.02
1093,-2376.44,0.02
1094,-1589.54,0.02
1095,-359.15,0.02
1096,-10634.08,0.02
1097,-174.62,0.02
1098,-8176.28,0.02
1099,-2542.21,0.02
1100,-172.36,0.02
1101,-317.26,0.02
1102,-16818.91,0.02
1103,-146.86,0.02
1104,-210.76,0.02
1105,-136.42,0.02
1106,-6826.49,0.02
1107,-8645.12,0.02
1108,-110.15,0.02
1109,-5695.55,0.02
1110,-196.45,0.02
1111,-157.13,0.02
1112,-178.89,0.02
1113,-2666.68,0.02
1114,-2744.26,0.02
1115,-229.64,0.02
1116,-134.72,0.02
1117,-296.61,0.02
1118,-3374.16,0.02
1119,-8396.74,0.02
1120,-2567.71,0.02
1121,-3264.23,0.02
1122,-2879.11,0.02
1123,-164.37,0.02
1124,-3000.92,0.02
1125,-8342.49,0.02
1126,-15520.47,0.02
1127,-335.79,0.02
1128,-134.01,0.02
1129,-7006.85,0.02
1130,-117.12,0.02
1131,-221.63,0.02
1132,-239.63,0.02
1133,-143.55,0.02
1134,-177.43,0.02
1135,-260.74,0.02
1136,-5317.56,0.02
1137,-149.98,0.02
1138,-2721.47,0.02
1139,-5699.14,0.02
1140,-141.92,0.02
1141,-103.01,0.02
1142,-138.56,0.02
1143,-596.81,0.02
1144,-210.38,0.02
1145,-154.32,0.02
1146,-158.07,0.02
1147,-133.55,0.02
1148,-128.6,0.02
1149,-107.4,0.02
1150,-208.76,0.02
1151,-130.14,0.02
1152,-185.82,0.02
1153,-145.94,0.02
1154,-167.11,0.02
