episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
476,70,-1.525,30,0.7878,0.2167,0,54.7
477,80,-2.075,24,0.7874,0.2166,0,55.2
478,60,-2.175,15,0.787,0.2165,0,54.6
479,40,-2.95,30,0.7866,0.2165,0,54.5
480,70,-1.8,20,0.7862,0.2164,0,53.9
481,30,-2.25,10,0.7858,0.2163,0,53.7
482,60,-1.625,19,0.7854,0.2163,0,53.9
483,60,-3.475,45,0.785,0.2162,0,54.2
484,50,-3.425,41,0.7846,0.2161,0,54.2
485,40,-3.175,37,0.7842,0.2161,0,53.6
486,50,-2.25,21,0.7838,0.216,0,53.6
487,60,-2.0,11,0.7834,0.2159,0,53.5
488,90,-2.175,42,0.783,0.2159,0,53.9
489,60,-2.75,27,0.7827,0.2158,0,54.2
490,30,-3.775,45,0.7823,0.2158,0,53.9
491,100,-0.975,42,0.7819,0.2157,0,54.3
492,100,-2.475,29,0.7815,0.2156,0,54.8
493,70,-2.225,18,0.7811,0.2156,0,54.8
494,50,-2.4,17,0.7807,0.2155,0,54.9
495,30,-2.05,6,0.7803,0.2154,0,54.8
496,60,-3.2,62,0.7799,0.2154,0,55.0
497,30,-2.0,5,0.7795,0.2153,0,54.8
498,50,-1.75,22,0.7791,0.2152,0,55.0
499,80,-1.675,19,0.7788,0.2152,0,55.3
500,30,-3.25,33,0.7784,0.2151,0,54.4
501,50,-1.3,12,0.778,0.215,0,54.6
502,30,-2.0,5,0.7776,0.215,0,54.3
503,60,-1.625,27,0.7772,0.2149,0,54.3
504,30,-1.95,4,0.7768,0.2148,0,54.3
505,50,-1.4,14,0.7764,0.2148,0,54.3
506,160,-2.025,88,0.776,0.2147,0,55.3
507,60,-2.625,26,0.7756,0.2147,0,55.3
508,60,-2.975,38,0.7753,0.2146,0,55.6
509,60,-2.2,16,0.7749,0.2145,0,55.4
510,50,-2.225,14,0.7745,0.2145,0,55.3
511,170,-1.65,91,0.7741,0.2144,0,56.7
512,60,-3.825,51,0.7737,0.2143,0,56.7
513,30,-2.075,7,0.7733,0.2143,0,56.5
514,30,-1.975,12,0.7729,0.2142,0,56.2
515,110,-1.575,57,0.7725,0.2141,0,57.0
